Wavelength,Flux,BestFit,SkyFlux
4354.116,2.044,1.195,3.397
4355.118,1.140,1.207,3.700
4356.122,1.323,1.217,4.427
4357.125,2.436,1.226,6.930
4358.129,1.901,1.235,11.340
4359.132,-0.397,1.245,15.117
4360.135,0.933,1.252,14.196
4361.140,1.010,1.254,10.395
4362.143,1.195,1.253,6.568
4363.149,1.538,1.250,5.037
4364.153,1.578,1.248,4.359
4365.159,1.506,1.248,4.424
4366.164,1.403,1.249,3.733
4367.168,1.661,1.250,3.806
4368.175,1.399,1.250,4.041
4369.180,1.421,1.248,4.096
4370.187,1.744,1.248,3.866
4371.193,1.309,1.251,3.457
4372.201,0.971,1.257,3.428
4373.207,1.486,1.264,3.658
4374.213,1.576,1.273,3.884
4375.221,1.150,1.282,3.995
4376.228,1.170,1.284,3.857
4377.237,1.763,1.278,4.134
4378.244,0.731,1.265,4.279
4379.254,1.216,1.251,4.022
4380.261,1.100,1.240,3.811
4381.269,0.913,1.235,3.915
4382.279,1.455,1.238,3.757
4383.287,1.893,1.245,3.649
4384.298,1.655,1.255,3.473
4385.307,1.647,1.266,3.683
4386.318,1.691,1.273,3.488
4387.327,1.703,1.274,3.451
4388.336,1.851,1.270,3.445
4389.348,1.892,1.265,3.473
4390.358,0.823,1.261,3.490
4391.370,1.621,1.258,3.657
4392.381,1.804,1.256,3.553
4393.393,1.456,1.255,3.654
4394.404,1.247,1.256,3.768
4395.415,0.996,1.259,4.029
4396.429,1.548,1.261,3.690
4397.440,1.274,1.261,3.640
4398.454,1.506,1.261,3.573
4399.466,1.262,1.264,3.455
4400.480,0.926,1.268,3.926
4401.493,2.262,1.273,3.695
4402.505,2.164,1.277,3.932
4403.520,1.539,1.280,4.176
4404.534,1.093,1.283,4.406
4405.549,1.166,1.286,4.360
4406.563,1.079,1.286,4.747
4407.579,0.507,1.283,4.652
4408.593,2.131,1.278,4.775
4409.607,1.436,1.269,4.715
4410.624,0.731,1.259,4.715
4411.638,0.764,1.249,4.544
4412.656,1.052,1.244,4.842
4413.671,1.195,1.245,4.873
4414.689,0.463,1.251,4.950
4415.704,1.507,1.261,4.697
4416.723,1.230,1.272,4.742
4417.739,1.033,1.281,4.813
4418.755,1.454,1.286,4.711
4419.774,0.490,1.288,4.569
4420.791,1.422,1.288,4.294
4421.810,1.259,1.288,4.773
4422.827,0.728,1.289,4.631
4423.847,0.674,1.288,4.554
4424.865,1.331,1.288,4.411
4425.883,1.980,1.287,4.417
4426.903,0.577,1.286,4.758
4427.922,0.615,1.282,4.444
4428.943,1.345,1.278,4.551
4429.962,0.890,1.276,4.694
4430.983,0.323,1.276,4.570
4432.003,1.943,1.279,4.394
4433.022,1.296,1.284,4.342
4434.044,1.552,1.288,4.292
4435.064,1.309,1.289,3.874
4436.087,1.208,1.285,3.890
4437.108,1.301,1.276,3.862
4438.131,0.328,1.267,3.981
4439.152,1.206,1.259,4.477
4440.173,0.459,1.255,4.649
4441.197,1.272,1.256,4.297
4442.219,1.550,1.261,4.031
4443.243,0.348,1.268,3.875
4444.265,0.903,1.274,3.780
4445.290,0.364,1.278,3.910
4446.313,1.126,1.278,4.123
4447.336,0.975,1.274,4.022
4448.361,0.830,1.269,3.767
4449.384,1.492,1.264,3.802
4450.410,1.371,1.262,3.720
4451.434,1.440,1.259,3.753
4452.461,0.794,1.257,3.720
4453.485,1.246,1.256,3.736
4454.510,1.634,1.258,3.590
4455.537,1.055,1.260,3.349
4456.562,1.036,1.263,3.423
4457.589,1.088,1.264,3.498
4458.615,0.996,1.264,3.354
4459.643,1.035,1.263,3.174
4460.669,1.085,1.261,3.412
4461.695,0.999,1.256,3.640
4462.724,0.882,1.251,3.476
4463.751,0.712,1.247,3.782
4464.780,1.619,1.246,3.462
4465.807,1.621,1.250,3.624
4466.837,0.830,1.255,3.485
4467.864,0.664,1.263,3.514
4468.892,1.310,1.270,3.578
4469.923,0.823,1.277,3.510
4470.951,1.221,1.281,3.169
4471.982,1.495,1.282,3.414
4473.011,1.405,1.277,3.752
4474.042,1.334,1.266,3.670
4475.072,1.097,1.252,3.435
4476.101,0.417,1.238,3.834
4477.133,1.550,1.229,3.707
4478.163,1.376,1.228,3.460
4479.196,1.093,1.235,3.399
4480.226,1.653,1.247,3.303
4481.259,0.755,1.260,3.376
4482.290,1.633,1.268,3.341
4483.322,0.652,1.270,3.785
4484.355,0.629,1.267,3.706
4485.387,1.451,1.263,3.756
4486.421,1.348,1.260,3.756
4487.453,0.702,1.259,3.845
4488.488,1.184,1.260,3.475
4489.521,1.367,1.265,3.548
4490.554,1.485,1.272,3.571
4491.589,1.497,1.278,3.529
4492.622,1.504,1.281,3.686
4493.658,1.980,1.281,3.712
4494.692,1.703,1.279,3.891
4495.729,1.399,1.277,3.771
4496.763,1.020,1.276,3.818
4497.800,1.232,1.277,3.684
4498.834,2.041,1.279,3.869
4499.869,1.933,1.282,3.695
4500.907,1.032,1.285,3.669
4501.943,1.210,1.287,3.656
4502.981,1.094,1.286,3.658
4504.017,1.060,1.284,3.518
4505.055,1.447,1.284,3.568
4506.092,1.050,1.284,3.777
4507.128,1.849,1.284,3.762
4508.168,1.441,1.284,3.805
4509.205,1.046,1.283,3.690
4510.244,1.258,1.280,3.744
4511.282,1.565,1.276,3.697
4512.322,1.603,1.273,3.637
4513.360,1.649,1.269,3.606
4514.399,2.182,1.266,3.502
4515.440,1.482,1.262,3.589
4516.478,1.006,1.259,3.658
4517.520,1.739,1.256,3.466
4518.559,1.258,1.254,3.379
4519.601,1.399,1.254,3.512
4520.641,1.382,1.254,3.731
4521.681,0.992,1.252,3.919
4522.724,1.170,1.250,3.847
4523.764,1.588,1.249,4.045
4524.807,0.538,1.248,4.083
4525.848,1.559,1.246,3.739
4526.892,0.528,1.242,3.725
4527.933,0.985,1.239,3.924
4528.975,1.942,1.237,3.871
4530.019,1.295,1.239,3.812
4531.061,1.731,1.244,3.894
4532.106,2.244,1.251,4.118
4533.149,0.978,1.258,4.103
4534.194,0.971,1.265,4.257
4535.237,1.552,1.270,4.028
4536.280,1.436,1.273,4.219
4537.327,2.485,1.273,4.288
4538.370,1.272,1.273,4.194
4539.417,0.752,1.271,4.333
4540.461,1.445,1.269,4.101
4541.508,1.769,1.264,3.877
4542.553,1.024,1.255,4.417
4543.598,0.881,1.243,4.054
4544.646,1.079,1.233,4.171
4545.691,1.482,1.227,4.290
4546.739,1.674,1.224,4.126
4547.785,1.283,1.223,4.401
4548.834,0.858,1.224,4.053
4549.881,1.528,1.227,3.963
4550.927,1.395,1.228,3.480
4551.977,1.698,1.228,3.919
4553.024,1.345,1.229,3.731
4554.074,1.005,1.236,3.759
4555.121,1.418,1.245,3.919
4556.172,1.141,1.253,3.967
4557.220,1.806,1.257,3.752
4558.268,1.198,1.257,3.867
4559.319,1.241,1.256,3.956
4560.368,1.884,1.255,3.623
4561.420,1.861,1.257,3.619
4562.469,1.771,1.259,3.469
4563.521,1.302,1.263,3.458
4564.571,1.766,1.264,3.693
4565.621,0.924,1.263,3.495
4566.674,0.479,1.260,3.717
4567.725,1.836,1.258,3.681
4568.778,0.925,1.256,3.497
4569.829,0.694,1.255,3.688
4570.883,1.203,1.256,3.611
4571.934,1.456,1.257,3.386
4572.989,1.465,1.257,3.404
4574.041,1.610,1.255,3.473
4575.093,1.386,1.251,3.583
4576.148,0.646,1.245,3.379
4577.201,0.925,1.238,3.681
4578.256,1.407,1.231,3.556
4579.309,1.359,1.227,3.787
4580.365,1.121,1.225,3.861
4581.419,1.258,1.227,4.061
4582.473,0.443,1.230,3.786
4583.530,1.078,1.233,3.742
4584.584,1.429,1.235,3.740
4585.641,1.196,1.236,3.838
4586.696,1.496,1.238,4.082
4587.754,1.767,1.241,3.746
4588.809,1.032,1.245,3.829
4589.865,1.612,1.249,3.565
4590.923,1.189,1.252,3.771
4591.980,0.799,1.254,3.878
4593.038,1.919,1.256,3.710
4594.095,1.068,1.256,3.504
4595.154,1.385,1.256,3.490
4596.212,1.194,1.256,3.501
4597.269,1.203,1.257,3.482
4598.329,1.230,1.256,3.428
4599.387,0.798,1.256,3.453
4600.447,1.260,1.257,3.400
4601.506,1.642,1.259,3.483
4602.567,0.768,1.260,3.191
4603.626,0.738,1.260,3.271
4604.685,1.519,1.260,3.543
4605.747,1.560,1.260,3.340
4606.806,1.399,1.260,3.360
4607.868,1.550,1.259,3.358
4608.928,0.847,1.257,3.558
4609.991,1.056,1.254,3.627
4611.052,1.428,1.250,3.599
4612.113,0.901,1.245,3.421
4613.176,1.970,1.241,3.260
4614.237,0.471,1.238,3.293
4615.301,0.978,1.237,3.291
4616.363,1.283,1.239,3.318
4617.428,0.964,1.242,3.356
4618.490,1.548,1.247,3.357
4619.552,1.389,1.250,3.349
4620.618,1.088,1.252,3.463
4621.681,1.639,1.251,3.220
4622.746,1.776,1.248,3.317
4623.810,1.361,1.244,3.306
4624.876,1.239,1.242,3.478
4625.940,1.116,1.240,3.415
4627.004,1.169,1.238,3.475
4628.071,1.166,1.237,3.382
4629.136,1.346,1.237,3.299
4630.203,1.512,1.238,3.175
4631.268,1.292,1.237,3.288
4632.336,1.068,1.237,3.242
4633.402,1.133,1.239,3.255
4634.468,1.016,1.243,3.299
4635.537,1.448,1.246,3.388
4636.603,1.847,1.247,3.129
4637.672,1.258,1.248,3.196
4638.739,1.017,1.247,3.066
4639.809,1.308,1.245,3.110
4640.876,0.950,1.241,3.215
4641.944,0.635,1.238,3.180
4643.014,0.990,1.236,3.684
4644.082,1.660,1.236,3.625
4645.153,1.779,1.236,3.408
4646.222,1.136,1.237,3.062
4647.293,1.272,1.237,3.149
4648.362,1.373,1.238,3.142
4649.432,1.064,1.237,2.976
4650.504,1.189,1.237,3.410
4651.574,1.999,1.237,3.438
4652.646,1.463,1.237,3.312
4653.717,1.551,1.238,3.368
4654.790,1.533,1.239,3.280
4655.861,1.010,1.240,3.432
4656.934,0.700,1.241,3.535
4658.006,0.673,1.241,3.737
4659.077,1.093,1.237,3.892
4660.152,0.618,1.231,4.091
4661.224,1.191,1.224,4.132
4662.299,1.957,1.219,3.933
4663.371,0.901,1.216,4.106
4664.446,1.114,1.215,3.970
4665.520,1.358,1.217,3.956
4666.593,1.671,1.220,3.898
4667.669,1.420,1.224,3.873
4668.743,0.739,1.229,3.789
4669.819,0.535,1.232,3.957
4670.894,0.816,1.234,3.744
4671.971,0.438,1.234,3.956
4673.046,0.840,1.234,3.966
4674.121,1.569,1.233,3.830
4675.198,1.751,1.232,4.027
4676.274,1.448,1.232,4.017
4677.352,1.593,1.233,4.057
4678.428,1.671,1.233,4.042
4679.507,1.717,1.235,3.508
4680.584,1.603,1.236,3.675
4681.660,1.270,1.236,3.724
4682.740,1.016,1.235,3.666
4683.817,1.301,1.235,3.623
4684.897,1.180,1.233,3.780
4685.975,1.234,1.232,3.819
4687.056,1.304,1.232,3.616
4688.134,1.314,1.231,3.762
4689.212,1.345,1.231,3.595
4690.294,1.014,1.230,3.429
4691.373,1.413,1.229,3.529
4692.454,1.178,1.228,3.623
4693.534,1.135,1.226,3.395
4694.616,1.146,1.224,3.425
4695.696,0.557,1.220,3.488
4696.777,1.478,1.216,3.505
4697.860,1.464,1.213,3.374
4698.940,0.700,1.211,3.123
4700.024,0.866,1.211,3.113
4701.105,1.570,1.211,3.306
4702.189,1.116,1.212,3.206
4703.271,0.703,1.214,3.341
4704.353,1.336,1.215,3.354
4705.438,0.923,1.217,3.445
4706.520,1.158,1.217,3.521
4707.606,1.772,1.218,3.460
4708.689,0.878,1.220,3.558
4709.774,1.336,1.221,3.703
4710.858,1.110,1.221,3.742
4711.942,1.496,1.220,3.585
4713.028,1.267,1.220,3.451
4714.112,0.492,1.222,3.403
4715.199,0.941,1.224,3.515
4716.284,1.588,1.226,3.264
4717.372,1.258,1.226,3.372
4718.457,0.788,1.227,3.382
4719.542,1.127,1.227,3.359
4720.631,1.522,1.226,3.557
4721.717,0.880,1.224,3.478
4722.805,1.073,1.221,3.257
4723.892,1.051,1.218,3.357
4724.981,1.371,1.215,3.304
4726.068,1.557,1.213,3.270
4727.155,1.417,1.211,3.140
4728.246,1.445,1.211,3.370
4729.333,1.482,1.211,3.507
4730.424,1.508,1.212,3.635
4731.512,0.887,1.213,3.621
4732.603,0.743,1.215,3.654
4733.692,1.199,1.215,3.591
4734.781,1.194,1.216,3.706
4735.873,1.571,1.216,3.593
4736.962,1.802,1.217,3.545
4738.054,1.098,1.218,3.701
4739.144,0.939,1.219,3.810
4740.237,1.305,1.219,3.957
4741.328,0.670,1.219,3.886
4742.421,0.695,1.218,3.965
4743.512,1.277,1.218,3.942
4744.603,0.901,1.218,4.085
4745.697,0.803,1.218,3.855
4746.789,1.292,1.217,3.525
4747.884,1.047,1.217,3.248
4748.976,1.120,1.217,3.093
4750.071,1.250,1.216,2.999
4751.164,1.067,1.216,3.227
4752.257,0.770,1.217,3.303
4753.353,0.800,1.217,3.541
4754.446,1.111,1.216,3.673
4755.543,0.682,1.215,3.376
4756.637,0.668,1.213,3.149
4757.734,1.219,1.210,3.053
4758.828,1.670,1.208,2.938
4759.923,1.633,1.207,3.173
4761.020,1.377,1.207,3.303
4762.116,1.227,1.208,3.094
4763.214,1.178,1.211,3.066
4764.310,1.053,1.214,3.027
4765.408,1.275,1.216,3.007
4766.504,1.471,1.218,2.981
4767.601,0.918,1.219,2.906
4768.700,1.214,1.221,3.012
4769.797,1.566,1.222,2.890
4770.897,1.423,1.224,2.984
4771.995,1.316,1.226,2.959
4773.095,1.394,1.227,2.989
4774.193,1.213,1.227,3.148
4775.292,1.368,1.228,3.067
4776.393,1.296,1.228,3.194
4777.492,2.164,1.228,3.391
4778.593,1.467,1.227,3.571
4779.693,-0.008,1.225,3.481
4780.795,1.573,1.224,3.300
4781.895,1.214,1.224,3.324
4782.995,1.133,1.224,3.155
4784.098,1.358,1.224,3.050
4785.198,1.304,1.224,3.058
4786.302,0.994,1.225,3.020
4787.403,0.982,1.227,3.187
4788.507,1.208,1.229,3.088
4789.608,1.525,1.230,3.060
4790.710,0.955,1.230,3.234
4791.815,1.091,1.229,3.178
4792.917,1.756,1.229,3.270
4794.022,0.813,1.228,3.148
4795.125,1.306,1.226,3.235
4796.231,0.830,1.225,3.322
4797.334,1.111,1.222,3.156
4798.438,1.466,1.220,3.007
4799.545,1.290,1.219,3.268
4800.649,1.584,1.218,3.123
4801.756,1.277,1.218,3.101
4802.860,0.697,1.218,3.059
4803.968,1.234,1.219,3.184
4805.073,1.430,1.221,2.907
4806.178,0.916,1.222,3.040
4807.287,1.402,1.222,3.101
4808.393,0.885,1.223,3.064
4809.501,0.949,1.224,3.107
4810.608,1.093,1.225,3.130
4811.717,1.489,1.225,3.110
4812.824,1.775,1.225,3.142
4813.931,1.007,1.224,3.249
4815.041,1.003,1.222,3.216
4816.149,0.988,1.218,3.353
4817.260,0.670,1.213,3.717
4818.368,1.041,1.209,3.724
4819.479,1.667,1.205,4.049
4820.588,0.894,1.202,3.821
4821.697,1.286,1.201,3.966
4822.809,1.798,1.201,4.009
4823.918,1.564,1.202,3.719
4825.030,1.242,1.203,3.695
4826.140,1.198,1.203,3.610
4827.253,0.757,1.202,3.715
4828.364,0.505,1.200,4.084
4829.477,1.475,1.197,3.809
4830.588,1.446,1.194,3.760
4831.699,1.039,1.191,3.771
4832.814,1.042,1.187,3.576
4833.925,0.627,1.184,3.927
4835.040,1.424,1.180,3.939
4836.152,0.930,1.176,3.980
4837.268,1.228,1.172,3.662
4838.380,1.762,1.168,3.717
4839.493,1.555,1.162,3.756
4840.609,1.446,1.154,3.745
4841.723,0.636,1.146,3.893
4842.840,1.506,1.137,3.763
4843.954,1.320,1.128,3.534
4845.071,0.971,1.120,3.572
4846.185,1.437,1.110,3.643
4847.300,0.786,1.098,3.739
4848.418,0.441,1.084,3.778
4849.533,1.309,1.070,3.397
4850.652,1.090,1.052,3.464
4851.767,0.539,1.030,3.325
4852.886,0.766,1.003,3.421
4854.003,0.705,0.975,3.347
4855.119,0.984,0.950,3.412
4856.239,1.041,0.932,3.136
4857.356,0.770,0.925,3.150
4858.476,0.589,0.928,3.053
4859.594,0.596,0.942,3.132
4860.714,0.345,0.965,3.719
4861.833,0.269,0.993,4.270
4862.951,0.625,1.019,4.372
4864.072,0.873,1.041,3.781
4865.191,1.106,1.058,3.270
4866.313,1.461,1.071,3.132
4867.433,1.491,1.083,3.144
4868.555,1.142,1.092,3.406
4869.675,1.086,1.101,3.296
4870.796,0.885,1.110,3.185
4871.919,1.094,1.119,3.106
4873.039,1.452,1.129,3.014
4874.163,0.516,1.137,3.043
4875.284,0.860,1.144,3.179
4876.409,1.093,1.150,3.182
4877.531,1.143,1.155,3.108
4878.653,1.058,1.160,3.306
4879.778,1.112,1.163,3.455
4880.900,1.713,1.166,3.501
4882.026,1.498,1.166,3.532
4883.149,1.207,1.166,3.479
4884.275,1.229,1.167,3.565
4885.398,1.073,1.168,3.349
4886.522,0.715,1.172,3.479
4887.649,1.091,1.176,3.532
4888.774,1.433,1.180,3.303
4889.901,1.377,1.185,3.471
4891.026,0.809,1.191,3.547
4892.154,0.584,1.196,3.687
4893.279,1.109,1.199,3.715
4894.405,1.344,1.199,3.427
4895.533,1.130,1.199,3.370
4896.660,1.048,1.198,3.444
4897.789,1.501,1.197,3.384
4898.916,1.751,1.198,3.103
4900.045,1.324,1.200,3.102
4901.172,1.137,1.200,3.176
4902.300,1.417,1.200,3.211
4903.430,1.434,1.200,3.286
4904.558,1.073,1.199,3.323
4905.689,1.024,1.199,3.416
4906.818,1.290,1.199,3.512
4907.950,0.769,1.199,3.439
4909.079,0.684,1.200,3.322
4910.208,0.453,1.200,3.331
4911.340,0.729,1.199,3.282
4912.470,1.076,1.197,3.371
4913.603,1.051,1.193,3.313
4914.733,1.329,1.188,3.274
4915.867,0.817,1.182,3.245
4916.997,1.345,1.177,3.325
4918.131,0.951,1.175,3.382
4919.263,0.488,1.177,3.301
4920.394,1.207,1.182,2.950
4921.529,1.193,1.188,2.795
4922.661,1.398,1.195,3.044
4923.796,0.843,1.200,3.169
4924.929,0.949,1.202,3.288
4926.065,1.226,1.201,3.165
4927.198,0.940,1.198,3.453
4928.331,1.311,1.195,3.154
4929.468,0.664,1.193,3.356
4930.602,0.697,1.191,3.178
4931.739,1.279,1.190,3.210
4932.873,1.355,1.191,3.381
4934.011,0.932,1.193,3.417
4935.146,1.365,1.196,3.165
4936.281,1.041,1.199,3.232
4937.420,1.598,1.201,3.301
4938.556,1.283,1.203,3.615
4939.694,0.975,1.205,3.601
4940.831,1.631,1.206,3.302
4941.970,0.881,1.206,3.196
4943.107,1.324,1.205,3.375
4944.244,1.290,1.205,3.438
4945.384,0.898,1.204,3.172
4946.522,0.851,1.204,3.052
4947.663,1.208,1.203,3.079
4948.801,1.287,1.200,3.215
4949.942,1.392,1.196,3.434
4951.081,1.460,1.191,3.299
4952.220,1.357,1.188,3.492
4953.362,1.235,1.187,3.574
4954.501,1.297,1.188,3.700
4955.644,1.335,1.190,3.611
4956.784,0.862,1.195,3.474
4957.927,0.786,1.199,3.071
4959.067,1.172,1.202,3.252
4960.208,1.371,1.202,3.501
4961.352,1.144,1.199,3.368
4962.493,1.294,1.197,3.162
4963.638,1.473,1.196,3.246
4964.779,1.356,1.196,3.389
4965.924,0.726,1.196,3.472
4967.067,0.936,1.197,3.594
4968.209,1.968,1.198,3.500
4969.355,0.812,1.199,3.696
4970.498,1.641,1.200,3.583
4971.644,0.984,1.199,3.764
4972.788,0.875,1.198,3.894
4973.935,1.425,1.194,3.752
4975.079,1.149,1.189,4.010
4976.224,1.256,1.184,4.015
4977.371,1.629,1.179,3.921
4978.516,0.801,1.175,4.166
4979.664,0.841,1.174,4.436
4980.810,1.510,1.175,4.476
4981.958,1.082,1.178,4.611
4983.104,0.556,1.181,4.361
4984.251,1.516,1.184,4.479
4985.400,1.163,1.186,4.429
4986.547,0.739,1.186,4.159
4987.697,1.185,1.186,4.219
4988.844,1.441,1.186,4.527
4989.995,0.474,1.187,4.212
4991.143,1.513,1.188,3.988
4992.291,1.101,1.188,3.874
4993.442,0.935,1.186,3.928
4994.591,1.181,1.184,3.696
4995.743,0.730,1.181,3.837
4996.892,1.123,1.178,3.564
4998.044,1.129,1.174,3.412
4999.194,1.162,1.170,3.301
5000.344,1.142,1.169,3.340
5001.497,1.124,1.170,3.403
5002.648,1.282,1.172,3.331
5003.801,1.393,1.172,3.353
5004.952,1.299,1.173,3.327
5006.106,1.142,1.173,3.555
5007.258,1.366,1.173,3.894
5008.413,1.293,1.173,4.041
5009.565,0.636,1.170,3.807
5010.717,1.157,1.164,3.160
5011.873,0.871,1.159,3.208
5013.026,1.497,1.155,3.052
5014.182,1.586,1.154,2.843
5015.335,1.058,1.155,2.949
5016.492,1.127,1.158,3.263
5017.646,1.126,1.162,3.085
5018.800,1.167,1.168,3.036
5019.958,1.622,1.172,3.090
5021.112,1.267,1.175,3.217
5022.270,0.913,1.176,3.317
5023.426,1.610,1.176,3.085
5024.584,1.116,1.176,3.022
5025.740,1.637,1.176,3.020
5026.896,1.420,1.177,2.932
5028.055,1.178,1.177,2.791
5029.212,1.467,1.176,3.081
5030.372,1.731,1.176,2.917
5031.529,1.486,1.174,2.904
5032.689,0.671,1.172,3.082
5033.847,1.210,1.168,3.205
5035.005,1.211,1.164,3.023
5036.166,0.859,1.163,2.988
5037.325,1.541,1.163,2.909
5038.486,1.072,1.165,2.956
5039.645,1.122,1.168,2.793
5040.807,0.822,1.171,2.806
5041.967,1.201,1.174,2.858
5043.127,1.482,1.175,2.800
5044.290,0.695,1.173,3.006
5045.450,1.517,1.170,3.054
5046.614,0.378,1.168,3.073
5047.775,1.075,1.167,3.081
5048.939,1.508,1.167,2.761
5050.100,1.022,1.167,2.776
5051.262,1.288,1.169,2.765
5052.427,1.131,1.172,2.596
5053.589,1.688,1.175,2.701
5054.754,1.232,1.178,2.942
5055.917,1.276,1.179,3.078
5057.083,1.520,1.179,3.042
5058.247,0.749,1.179,2.986
5059.410,1.559,1.177,2.804
5060.577,1.487,1.174,2.860
5061.741,1.549,1.172,2.815
5062.908,1.669,1.170,2.897
5064.073,1.410,1.169,2.983
5065.241,1.086,1.169,3.146
5066.406,1.568,1.168,3.114
5067.572,1.334,1.168,3.076
5068.740,1.153,1.168,3.129
5069.906,1.437,1.167,3.312
5071.075,1.513,1.166,3.381
5072.242,1.056,1.165,3.177
5073.412,1.615,1.164,2.984
5074.579,1.193,1.164,2.967
5075.746,1.470,1.164,3.054
5076.917,1.362,1.164,3.064
5078.084,1.024,1.164,2.891
5079.255,1.633,1.165,2.945
5080.424,1.326,1.167,3.152
5081.595,1.425,1.169,3.500
5082.764,1.356,1.171,3.695
5083.934,1.084,1.172,4.029
5085.106,1.282,1.172,4.133
5086.276,1.950,1.173,4.206
5087.449,1.339,1.173,4.152
5088.619,1.429,1.173,4.102
5089.793,1.581,1.171,3.726
5090.964,1.281,1.169,3.322
5092.135,0.752,1.167,3.204
5093.309,0.667,1.165,3.030
5094.481,1.247,1.164,2.919
5095.655,0.967,1.163,3.055
5096.828,1.203,1.164,3.195
5098.003,1.358,1.166,3.219
5099.176,1.078,1.167,3.098
5100.352,1.157,1.169,3.295
5101.525,1.665,1.169,3.365
5102.699,1.331,1.169,3.305
5103.875,1.244,1.168,2.932
5105.049,1.119,1.168,2.971
5106.227,1.081,1.167,2.819
5107.401,1.414,1.168,2.831
5108.579,0.507,1.169,2.745
5109.754,1.153,1.171,2.819
5110.930,1.325,1.172,2.769
5112.108,0.970,1.173,2.905
5113.284,0.760,1.172,2.939
5114.463,0.894,1.170,3.058
5115.640,1.503,1.168,2.964
5116.820,1.244,1.166,2.963
5117.997,1.137,1.164,3.058
5119.174,0.888,1.162,2.990
5120.355,0.747,1.160,3.127
5121.533,1.352,1.158,2.850
5122.714,1.053,1.157,2.825
5123.892,0.614,1.157,2.782
5125.074,1.087,1.157,2.629
5126.253,1.533,1.158,2.653
5127.432,1.347,1.157,2.665
5128.614,1.194,1.157,2.861
5129.794,1.409,1.157,2.911
5130.977,1.039,1.156,2.852
5132.157,1.078,1.154,3.102
5133.341,1.445,1.153,2.936
5134.522,1.511,1.151,3.169
5135.703,1.204,1.151,3.166
5136.887,1.312,1.152,3.239
5138.069,0.782,1.153,3.261
5139.254,1.228,1.154,3.140
5140.436,1.241,1.156,2.981
5141.621,0.731,1.157,3.085
5142.804,1.360,1.157,3.178
5143.987,1.118,1.157,3.198
5145.174,1.260,1.157,3.217
5146.357,1.284,1.157,3.172
5147.544,1.087,1.156,3.193
5148.728,1.049,1.156,3.339
5149.915,1.315,1.157,3.457
5151.100,1.209,1.157,3.476
5152.285,1.318,1.157,3.497
5153.473,0.949,1.158,3.760
5154.659,0.803,1.159,3.705
5155.847,0.912,1.158,3.624
5157.034,0.541,1.157,3.572
5158.223,1.070,1.154,3.482
5159.409,1.194,1.149,3.287
5160.596,0.960,1.141,3.185
5161.786,0.951,1.133,3.159
5162.974,1.173,1.126,3.030
5164.164,1.213,1.120,3.147
5165.352,1.485,1.117,3.067
5166.544,1.119,1.118,2.838
5167.732,1.374,1.124,2.710
5168.921,1.144,1.133,2.662
5170.113,0.679,1.142,2.774
5171.302,1.565,1.149,2.546
5172.495,0.742,1.154,2.729
5173.685,1.176,1.157,2.576
5174.878,0.827,1.157,2.748
5176.068,0.869,1.152,2.744
5177.259,1.648,1.146,2.873
5178.453,1.163,1.140,3.056
5179.644,1.000,1.136,2.935
5180.838,1.314,1.134,2.805
5182.030,1.045,1.133,2.623
5183.225,1.083,1.134,2.535
5184.418,1.629,1.135,2.478
5185.610,1.358,1.136,2.512
5186.806,1.038,1.136,3.005
5187.999,1.733,1.136,3.360
5189.196,1.448,1.137,3.649
5190.389,1.380,1.137,3.752
5191.586,1.869,1.138,3.306
5192.781,1.073,1.139,3.033
5193.978,0.891,1.141,3.233
5195.173,1.072,1.142,3.027
5196.368,1.326,1.142,3.441
5197.566,1.195,1.142,5.411
5198.762,0.998,1.142,7.222
5199.961,1.460,1.140,8.989
5201.157,1.368,1.138,7.561
5202.357,1.364,1.137,5.793
5203.553,0.741,1.137,4.931
5204.750,0.386,1.139,4.168
5205.951,0.854,1.142,3.046
5207.148,1.190,1.144,2.941
5208.349,1.187,1.146,2.840
5209.547,0.997,1.146,3.006
5210.748,1.288,1.146,3.148
5211.947,1.256,1.146,3.114
5213.146,0.947,1.147,3.040
5214.348,1.481,1.148,2.929
5215.548,0.908,1.149,2.976
5216.751,1.060,1.150,3.121
5217.951,1.076,1.148,3.320
5219.154,0.985,1.143,3.355
5220.355,1.133,1.137,3.462
5221.556,1.176,1.132,3.694
5222.760,0.966,1.130,3.394
5223.961,0.794,1.128,3.613
5225.166,0.837,1.127,3.843
5226.368,0.891,1.127,3.777
5227.573,0.896,1.128,3.121
5228.776,1.113,1.129,2.863
5229.978,1.364,1.129,2.722
5231.184,1.103,1.130,3.309
5232.388,1.253,1.132,3.379
5233.594,1.397,1.135,3.226
5234.798,1.083,1.138,3.122
5236.006,0.943,1.141,2.936
5237.210,1.077,1.144,3.299
5238.415,1.518,1.145,3.695
5239.623,0.912,1.145,4.259
5240.828,0.466,1.145,4.074
5242.037,1.011,1.144,3.558
5243.243,1.125,1.144,3.091
5244.452,1.139,1.143,2.928
5245.658,0.987,1.142,2.974
5246.865,0.881,1.141,2.871
5248.075,1.305,1.140,2.979
5249.282,1.776,1.139,2.967
5250.493,1.161,1.140,3.380
5251.701,1.075,1.140,3.230
5252.912,1.324,1.139,3.039
5254.120,1.066,1.137,3.128
5255.329,1.015,1.133,3.401
5256.541,1.466,1.130,4.143
5257.750,1.291,1.126,4.272
5258.962,1.220,1.121,3.959
5260.172,1.255,1.116,3.520
